,metric,Recording,mu,std,min,max
0,init_jerk,natural,0.046280482,0.090640705,-0.452239027,0.668824241
1,init_jerk,comfort,0.016918805,0.024683802,-0.042612727,0.08917944
2,init_jerk,Dr001,0.051051287,0.109955684,-0.412736716,0.668824241
3,init_jerk,Dr003,0.063281199,0.074425595,-0.088085938,0.408150645
4,init_jerk,Dr002,0.034018186,0.073867621,-0.452239027,0.539337991
5,init_jerk,Dr004,0.02436184,0.03775656,-0.098499889,0.121006031
6,init_jerk,dynamic,0.103661228,0.13348604,-0.051993014,0.469932966
7,jerk_int,natural,0.009828338,0.012325926,4.90E-05,0.101120612
8,jerk_int,comfort,0.002122583,0.001824548,0.00030608,0.012326432
9,jerk_int,Dr001,0.008832193,0.012572615,5.91E-05,0.096047478
10,jerk_int,Dr003,0.01365604,0.011028876,4.90E-05,0.079852914
11,jerk_int,Dr002,0.009030693,0.012314467,0.000417501,0.101120612
12,jerk_int,Dr004,0.004826855,0.006783008,3.33E-09,0.039115117
13,jerk_int,dynamic,0.052661262,0.040872543,0.003899077,0.29239247
14,jerk_int_init,natural,0.003647936,0.008271806,0,0.084335268
15,jerk_int_init,comfort,0.000563872,0.000615404,1.41E-06,0.002865985
16,jerk_int_init,Dr001,0.004268158,0.009927029,0,0.084335268
17,jerk_int_init,Dr003,0.004499871,0.007874097,0,0.060986809
18,jerk_int_init,Dr002,0.002672017,0.006413501,7.37E-08,0.053304187
19,jerk_int_init,Dr004,0.00172753,0.004504076,3.29E-09,0.025592749
20,jerk_int_init,dynamic,0.012246004,0.011621801,3.94E-05,0.05451167
21,jerk_int_middle,natural,0.004727174,0.00659083,0,0.055505159
22,jerk_int_middle,comfort,0.001012628,0.001107569,8.57E-05,0.006654057
23,jerk_int_middle,Dr001,0.003564286,0.004946434,0,0.030368836
24,jerk_int_middle,Dr003,0.007069579,0.006842191,0,0.036131607
25,jerk_int_middle,Dr002,0.004763715,0.007490761,0.000151282,0.055505159
26,jerk_int_middle,Dr004,0.002019806,0.001880289,3.07E-12,0.007540357
27,jerk_int_middle,dynamic,0.035584025,0.03743703,0,0.291603319
28,jerk_int_sett,natural,0.001453228,0.002424479,0,0.035943931
29,jerk_int_sett,comfort,0.000546083,0.000686345,0,0.005665675
30,jerk_int_sett,Dr001,0.000999749,0.001468445,0,0.010469976
31,jerk_int_sett,Dr003,0.00208659,0.002247648,0,0.019641036
32,jerk_int_sett,Dr002,0.001594962,0.003063613,0,0.035943931
33,jerk_int_sett,Dr004,0.001079519,0.002105074,0,0.008510168
34,jerk_int_sett,dynamic,0.004831233,0.012239668,0,0.108470007
35,max_a_y,natural,0.82274933,0.586719602,0.0238838,4.31357961
36,max_a_y,comfort,0.411466817,0.144918838,0.158163759,0.909261277
37,max_a_y,Dr001,0.859944377,0.697171509,0.058975221,4.31357961
38,max_a_y,Dr003,0.936465511,0.530848058,0.0238838,3.065978445
39,max_a_y,Dr002,0.735717696,0.472668201,0.031814504,3.418416599
40,max_a_y,Dr004,0.71996558,0.535976391,0.000440979,2.433541584
41,max_a_y,dynamic,1.660420331,0.663026761,0.0619891,4.172889743
42,max_a_y_init,natural,0.690492831,0.653663508,0,4.31357961
43,max_a_y_init,comfort,0.318113452,0.195989464,0,0.805670003
44,max_a_y_init,Dr001,0.729029013,0.767922674,0,4.31357961
45,max_a_y_init,Dr003,0.823241713,0.596448547,0,3.065978445
46,max_a_y_init,Dr002,0.593526271,0.535698229,0,3.418416599
47,max_a_y_init,Dr004,0.46608585,0.573335061,0,2.433541584
48,max_a_y_init,dynamic,1.476152481,0.78800433,0.0619891,3.563151027
49,max_a_y_middle,natural,0.290473295,0.518532459,-1.89229252,3.468720806
50,max_a_y_middle,comfort,0.200053703,0.199078704,-0.442861733,0.909261277
51,max_a_y_middle,Dr001,0.326566627,0.532730674,-1.89229252,3.468720806
52,max_a_y_middle,Dr003,0.282006519,0.535659658,-1.287230229,2.524294514
53,max_a_y_middle,Dr002,0.260100703,0.494280402,-1.649137067,2.727599191
54,max_a_y_middle,Dr004,0.336111929,0.403766136,-0.172653532,1.222033167
55,max_a_y_middle,dynamic,0.467240043,0.737836616,-0.365224122,3.612675155
56,max_a_y_sett,natural,0.273675751,0.430622288,-3.106646526,2.564317913
